token,tokenToMatch,endReason,tag,tagIndex
?,?,nn,,
By,by,s,considrd,0
patience,patience,c,,
.,.,nn,,
That,that,s,strd,0
Is,is,s,strd,1
a,a,s,considrd,0
physic,physic,s,strd,0
all,all,s,,
prescribe,prescribe,c,,
",",",",n,,
But,but,s,,
few,few,s,,
or,or,s,considrd,0
none,none,s,,
does,does,s,strd,0
follow,follow,c,,
.,.,s,,
Pray,pray,s,,
what,what,s,,
is,is,c,strd,0
it,it,c,strd,1
?,?,nn,,
It,it,s,,
is,is,s,considrd,0
the,the,s,considrd,0
best,best,s,,
receipt,receipt,s,strd,0
that,that,s,considrd,0
can,can,s,,
be,be,s,considrd,0
took,took,n,strd,0
Both,both,s,,
against,against,s,,
love,love,s,,
and,and,s,,
fortune,fortune,s,,
(,(,c,,
Crossed,crossed,s,strd,0
in,in,s,considrd,0
both,both,c,,
.),.),nn,,
To,to,s,considrd,0
wish,wish,s,,
the,the,s,considrd,0
best,best,c,,
",",",",s,,
to,to,s,considrd,0
think,think,s,strd,0
upon,upon,s,strd,0
the,the,s,considrd,0
worst,worst,c,,
",",",",n,,
And,and,s,,
all,all,s,,
contingents,contingents,s,,
brook,brook,s,strd,0
with,with,s,considrd,0
patience,patience,c,,
.,.,n,,
^s,^s,s,,
a,a,s,considrd,0
most,most,s,,
sovereign,sovereign,s,strd,0
medicine,medicine,c,,
.,.,nn,,
And,and,s,,
moreover,moreover,c,,
;,;,n,,
What,what,s,,
cannot,cannot,s,,
be,be,s,considrd,0
redrest,redrest,s,,
with,with,s,considrd,0
peevishness,peevishness,c,strd,0
",",",",n,,
Ought,ought,s,,
to,to,s,considrd,0
be,be,s,strd,0
borne,borne,s,,
with,with,s,considrd,0
patience,patience,c,,
.,.,nn,,
Patience,patience,c,,
?,?,n,,
^he,^he,s,,
is,is,s,considrd,0
so,so,s,,
like,like,s,,
to,to,s,considrd,0
Fortitude,fortitude,s,,
herself,herself,c,strd,0
",",",",n,,
That,that,s,considrd,0
by,by,s,considrd,0
her,her,s,,
sweet,sweet,s,,
aspect,aspect,s,,
she,she,s,considrd,0
appears,appears,s,strd,0
to,to,s,considrd,0
be,be,n,considrd,0
Her,her,s,,
sister,sister,s,,
or,or,s,considrd,0
her,her,s,,
daughter,daughter,c,,
.,.,nn,,
The,the,s,considrd,0
only,only,s,strd,0
remedy,remedy,s,,
for,for,s,considrd,0
injuries,injuries,c,,
",",",",s,,
is,is,n,considrd,0
By,by,s,considrd,0
patience,patience,s,,
to,to,s,considrd,0
forget,forget,s,,
them,them,c,,
.,.,s,,
And,and,s,,
more,more,s,,
noble,noble,n,,
It,it,s,,
is,is,s,considrd,0
to,to,s,considrd,0
yield,yield,s,strd,0
your,your,s,,
self,self,s,strd,0
in,in,s,considrd,0
triumph,triumph,s,,
to,to,n,strd,0
it,it,n,strd,1
Then,then,s,,
to,to,s,considrd,0
be,be,s,considrd,0
drawn,drawn,s,strd,0
by,by,s,considrd,0
force,force,c,,
.,.,nn,,
You,you,s,considrd,0
have,have,s,considrd,0
prevaild,prevaild,c,,
",",",",n,,
For,for,s,considrd,0
I,i,s,considrd,0
am,am,s,,
now,now,s,,
your,your,s,,
Patient,patient,c,,
;,;,s,,
and,and,s,,
entreat,entreat,s,strd,0
you,you,c,considrd,0
",",",",n,,
Like,like,s,,
skild,skild,s,,
Physicians,physicians,c,strd,0
",",",",s,,
study,study,s,,
for,for,s,considrd,0
my,my,s,considrd,0
health,health,c,,
.,.,nn,,
From,from,s,,
their,their,s,considrd,0
Doctors,doctors,n,,
The,the,s,considrd,0
sick,sick,s,,
expect,expect,s,,
more,more,s,,
art,art,s,,
then,then,s,,
eloquence,eloquence,c,,
:,:,n,,
And,and,s,,
therefore,therefore,s,,
what,what,s,,
defect,defect,s,,
you,you,s,considrd,0
find,find,s,,
in,in,s,considrd,0
words,words,c,,
",",",",n,,
Expect,expect,s,,
in,in,s,considrd,0
our,our,s,,
Prescriptions,prescriptions,c,,
.,.,nn,,
I,i,s,considrd,0
never,never,s,considrd,0
was,was,s,,
with,with,s,considrd,0
pastime,pastime,s,,
better,better,s,,
pleased,pleased,c,strd,0
;,;,n,,
So,so,s,,
clear,clear,s,strd,0
a,a,s,considrd,0
morning,morning,c,,
",",",",s,,
and,and,s,,
such,such,s,,
temperate,temperate,s,,
air,air,c,strd,0
;,;,n,,
The,the,s,considrd,0
Sun,sun,s,,
so,so,s,,
bright,bright,c,,
",",",",s,,
yet,yet,s,,
sparing,sparing,s,,
of,of,s,considrd,0
his,his,s,considrd,0
heat,heat,c,,
",",",",n,,
Made,made,s,,
all,all,s,,
the,the,s,considrd,0
toil,toil,s,strd,0
we,we,s,considrd,0
took,took,s,strd,0
(,(,c,,
to,to,s,considrd,0
chase,chase,s,strd,0
the,the,s,considrd,0
Stag,stag,c,,
),),n,,
To,to,s,considrd,0
seem,seem,s,strd,0
no,no,s,considrd,0
labor,labor,c,strd,0
",",",",s,,
but,but,s,,
an,an,s,,
exercise,exercise,c,,
.,.,n,,
The,the,s,considrd,0
wily,wily,s,,
beast,beast,s,,
to,to,s,considrd,0
shun,shun,s,,
our,our,s,,
swift,swift,s,,
pursuit,pursuit,c,strd,0
",",",",n,,
Forsook,forsook,s,strd,0
the,the,s,considrd,0
Plains,plains,c,strd,0
",",",",s,,
to,to,s,considrd,0
take,take,s,considrd,0
the,the,s,considrd,0
mountain,mountain,s,strd,0
tops,tops,c,,
.,.,n,,
Yet,yet,s,,
maugre,maugre,s,,
the,the,s,considrd,0
opposure,opposure,s,,
of,of,s,considrd,0
the,the,s,considrd,0
Rocks,rocks,n,,
And,and,s,,
clifts,clifts,s,,
depending,depending,s,,
to,to,s,considrd,0
molest,molest,s,,
our,our,s,,
speed,speed,n,,
Our,our,s,,
well-tride,well-tride,s,,
Nymphs,nymphs,c,,
",",",",s,,
like,like,s,,
wild,wild,s,,
Kids,kids,s,,
clim'd,clim'd,s,,
those,those,s,,
hills,hills,n,strd,0
And,and,s,,
thrild,thrild,s,,
their,their,s,considrd,0
arrowie,arrowie,s,,
Iavelins,iavelins,s,,
after,after,s,,
him,him,c,,
:,:,n,,
Nor,nor,s,,
left,left,s,,
the,the,s,considrd,0
chase,chase,c,strd,0
",",",",s,,
till,till,s,,
all,all,s,,
those,those,s,,
golden,golden,s,,
heads,heads,n,,
Were,were,s,,
new,new,s,considrd,0
stained,stained,s,strd,0
in,in,s,considrd,0
his,his,s,considrd,0
blood,blood,c,,
.,.,nn,,
It,it,s,,
proved,proved,c,strd,0
",",",",s,,
great,great,s,considrd,0
Queen,queen,n,strd,0
Your,your,s,,
active,active,s,,
Nymphs,nymphs,s,,
were,were,s,,
better,better,s,,
breathed,breathed,s,strd,0
than,than,s,,
he,he,c,considrd,0
",",",",n,,
For,for,s,considrd,0
whom,whom,s,,
we,we,s,considrd,0
could,could,s,,
not,not,s,,
overtake,overtake,c,,
",",",",s,,
we,we,s,considrd,0
tired,tired,c,strd,0
:,:,n,,
That,that,s,considrd,0
done,done,c,,
",",",",s,,
we,we,s,considrd,0
touched,touched,s,strd,0
our,our,s,,
Beagles,beagles,c,,
",",",",s,,
and,and,s,,
so,so,s,,
made,made,n,,
Both,both,s,,
hills,hills,s,,
and,and,s,,
valleys,valleys,s,strd,0
echo,echo,s,strd,0
to,to,s,considrd,0
his,his,s,considrd,0
death,death,c,,
.,.,nn,,
He,he,s,considrd,0
stood,stood,s,,
so,so,s,,
long,long,c,,
",",",",s,,
and,and,s,,
made,made,s,,
us,us,s,,
stray,stray,s,,
so,so,s,,
far,far,c,,
",",",",n,,
Amongst,amongst,s,,
the,the,s,considrd,0
Swains,swains,s,strd,0
and,and,s,,
lovely,lovely,s,,
Shepheardesses,shepheardesses,c,,
",",",",n,,
That,that,s,considrd,0
use,use,s,,
to,to,s,considrd,0
graze,graze,s,,
their,their,s,considrd,0
Flocks,flocks,s,,
upon,upon,s,,
these,these,s,,
downs,downs,c,strd,0
;,;,n,,
The,the,s,considrd,0
Sun,sun,s,,
must,must,s,,
needs,needs,s,,
pass,pass,s,strd,0
the,the,s,considrd,0
Meridian,meridian,c,,
",",",",n,,
E're,e're,s,,
we,we,s,considrd,0
can,can,s,,
reach,reach,s,,
the,the,s,considrd,0
Lodge,lodge,c,,
.,.,nn,,
The,the,s,considrd,0
Arcadian,arcadian,s,,
Girls,girls,n,strd,0
Are,are,s,,
of,of,s,considrd,0
no,no,s,considrd,0
common,common,s,considrd,0
beauty,beauty,c,,
;,;,s,,
as,as,s,considrd,0
their,their,s,considrd,0
habits,habits,n,,
Much,much,s,,
grace,grace,s,,
the,the,s,considrd,0
fields,fields,c,,
