token,tokenToMatch,endReason,tag,tagIndex
toothlesse,toothlesse,s,,
wile,wile,c,,
.,.,n,,
Lady,lady,c,strd,0
",",",",s,,
I,i,s,considrd,0
have,have,s,strd,0
been,been,s,strd,0
no,no,s,considrd,0
sleeper,sleeper,c,,
",",",",n,,
She,she,s,strd,0
belyes,belyes,s,,
the,the,s,considrd,0
noble,noble,s,,
keeper,keeper,c,,
.,.,n,,
Say,say,c,,
",",",",s,,
that,that,s,considrd,0
here,here,s,,
he,he,s,considrd,0
like,like,s,,
the,the,s,considrd,0
groves,groves,c,strd,0
:,:,n,,
And,and,s,,
pursue,pursue,s,,
no,no,s,considrd,0
foreign,foreign,s,strd,0
loves,loves,c,strd,0
",",",",n,,
Is,is,s,considrd,0
he,he,s,considrd,0
therefore,therefore,s,,
to,to,s,considrd,0
be,be,s,considrd,0
deemed,deemed,c,,
",",",",n,,
Rude,rude,c,,
",",",",s,,
or,or,s,considrd,0
savage,savage,c,strd,0
?,?,s,,
or,or,s,considrd,0
esteemed,esteemed,c,,
",",",",n,,
But,but,s,,
a,a,s,considrd,0
sorry,sorry,s,,
entertayner,entertayner,c,,
",",",",n,,
'Cause,'cause,s,,
he,he,s,considrd,0
is,is,s,considrd,0
no,no,s,considrd,0
common,common,s,considrd,0
strayner,strayner,c,,
:,:,n,,
After,after,s,,
painted,painted,s,,
Nymphs,nymphs,s,,
for,for,s,considrd,0
favors,favors,c,strd,0
",",",",n,,
Or,or,s,considrd,0
that,that,s,considrd,0
in,in,s,considrd,0
his,his,s,considrd,0
garb,garb,s,strd,0
he,he,s,considrd,0
savors,savors,n,strd,0
Little,little,s,,
of,of,s,considrd,0
the,the,s,considrd,0
nicety,nicety,c,,
",",",",n,,
In,in,s,considrd,0
the,the,s,considrd,0
sprucer,sprucer,s,,
courtiery,courtiery,c,,
;,;,n,,
As,as,s,considrd,0
the,the,s,considrd,0
rosarie,rosarie,s,,
of,of,s,considrd,0
kisses,kisses,c,,
",",",",n,,
With,with,s,considrd,0
the,the,s,considrd,0
oath,oath,s,,
that,that,s,considrd,0
never,never,s,strd,0
misses,misses,c,,
",",",",n,,
This,this,c,considrd,0
",",",",s,,
believe,believe,s,strd,0
me,me,s,,
on,on,s,,
the,the,s,considrd,0
breast,breast,c,strd,0
",",",",n,,
And,and,s,,
then,then,s,,
telling,telling,s,,
some,some,s,,
man's,man's,s,strd,0
jest,jest,c,strd,0
",",",",n,,
Thinking,thinking,s,,
to,to,s,considrd,0
prefer,prefer,s,strd,0
his,his,s,considrd,0
wit,wit,c,,
",",",",n,,
Equal,equal,s,strd,0
with,with,s,considrd,0
his,his,s,considrd,0
suite,suite,s,,
by,by,s,considrd,0
it,it,c,,
",",",",n,,
I,i,s,considrd,0
mean,mean,s,strd,0
his,his,s,considrd,0
clothes,clothes,c,,
:,:,s,,
No,no,c,considrd,0
",",",",s,,
no,no,c,considrd,0
",",",",s,,
no,no,c,considrd,0
",",",",n,,
Here,here,s,,
does,does,s,strd,0
no,no,s,considrd,0
such,such,s,,
humor,humor,s,strd,0
flow,flow,c,,
.,.,n,,
He,he,s,considrd,0
can,can,s,,
neither,neither,s,,
bribe,bribe,s,,
a,a,s,considrd,0
grace,grace,c,,
",",",",n,,
Nor,nor,s,,
encounter,encounter,s,,
my,my,s,considrd,0
lords,lords,s,considrd,0
face,face,n,,
With,with,s,considrd,0
a,a,s,considrd,0
plyant,plyant,s,,
smile,smile,c,,
",",",",s,,
and,and,s,,
flatter,flatter,c,,
",",",",n,,
Though,though,s,,
this,this,s,considrd,0
lately,lately,s,,
were,were,s,,
some,some,s,,
matter,matter,n,,
To,to,s,considrd,0
the,the,s,considrd,0
making,making,s,,
of,of,s,considrd,0
a,a,s,considrd,0
courtier,courtier,c,,
.,.,n,,
Now,now,s,,
he,he,s,considrd,0
hopes,hopes,s,,
he,he,s,considrd,0
shall,shall,s,considrd,0
resort,resort,s,,
there,there,c,considrd,0
",",",",n,,
Safer,safer,c,,
",",",",s,,
and,and,s,,
with,with,s,considrd,0
more,more,s,,
allowance,allowance,c,,
;,;,n,,
Since,since,s,,
a,a,s,considrd,0
hand,hand,s,,
has,has,s,strd,0
governance,governance,c,strd,0
",",",",n,,
That,that,s,considrd,0
has,has,s,strd,0
given,given,s,strd,0
