token,tokenToMatch,endReason,tag,tagIndex
amongst,amongst,s,,
the,the,n,considrd,0
Women,women,s,,
'twas,'twas,s,,
my,my,s,considrd,0
Fortune,fortune,s,,
to,to,s,considrd,0
cast,cast,s,,
my,my,s,considrd,0
Eye,eye,s,,
upon,upon,s,,
a,a,s,considrd,0
young,young,s,,
Creature,creature,c,,
",",",",s,,
with,with,s,considrd,0
a,a,s,considrd,0
Face,face,s,,
--,--,nnn,,
Good,good,s,,
enough,enough,s,,
perhaps,perhaps,c,,
.,.,nnn,,
Ay,ay,s,,
Socia,socia,c,,
",",",",s,,
and,and,s,,
an,an,s,,
Air,air,s,,
so,so,s,,
modest,modest,c,,
",",",",s,,
so,so,s,,
pretty,pretty,c,,
",",",",s,,
nothing,nothing,s,,
could,could,s,,
be,be,s,considrd,0
more,more,s,,
charming,charming,c,,
.,.,s,,
--,--,n,,
Now,now,s,,
finding,finding,s,,
this,this,s,considrd,0
Woman,woman,s,,
so,so,s,,
much,much,s,,
more,more,s,,
concerned,concerned,s,strd,0
than,than,s,,
the,the,s,considrd,0
rest,rest,c,,
",",",",s,,
and,and,s,,
her,her,s,,
Behavior,behavior,n,strd,0
much,much,s,,
more,more,s,,
genteel,genteel,s,,
and,and,s,,
