token,tokenToMatch,endReason,tag,tagIndex
Hell,hell,c,,
:,:,n,,
Pooles-hole,pooles-hole,c,,
",",",",s,,
or,or,s,considrd,0
Satan's,satan's,s,strd,0
sumptuous,sumptuous,s,,
Arse,arse,c,,
",",",",n,,
(,(,c,,
Surreverence,surreverence,c,,
),),s,,
with,with,s,considrd,0
the,the,s,considrd,0
Mine-mens,mine-mens,s,,
Farce,farce,c,,
.,.,n,,
Such,such,s,,
a,a,s,considrd,0
light,light,c,,
",",",",s,,
and,and,s,,
metall'd,metall'd,s,,
Dance,dance,n,,
Saw,saw,s,,
you,you,s,considrd,0
never,never,s,considrd,0
yet,yet,s,,
in,in,s,considrd,0
France,france,c,,
.,.,n,,
And,and,s,,
by,by,s,considrd,0
Lead-men,lead-men,c,,
",",",",s,,
for,for,s,considrd,0
the,the,s,considrd,0
nonce,nonce,c,,
",",",",n,,
That,that,s,considrd,0
turn,turn,s,strd,0
round,round,s,,
like,like,s,,
grindlestones,grindlestones,c,,
:,:,n,,
Which,which,s,considrd,0
they,they,s,considrd,0
dig,dig,s,,
out,out,s,,
fro',fro',s,,
the,the,s,considrd,0
Delves,delves,c,,
",",",",n,,
For,for,s,considrd,0
their,their,s,considrd,0
Bairnes-bread,bairnes-bread,c,,
",",",",s,,
Wives,wives,c,,
",",",",s,,
and,and,s,,
sell's,sell's,c,,
:,:,n,,
Whom,whom,s,,
the,the,s,considrd,0
Whetstone,whetstone,s,,
sharpes,sharpes,s,,
to,to,s,considrd,0
eat,eat,c,,
",",",",n,,
And,and,s,,
cry,cry,s,,
Milstones,milstones,s,,
are,are,s,,
good,good,s,,
meat,meat,c,,
.,.,n,,
He,he,s,considrd,0
can,can,s,,
fly,fly,s,strd,0
over,over,s,strd,0
hills,hills,c,,
",",",",s,,
and,and,s,,
dales,dales,c,,
",",",",n,,
And,and,s,,
report,report,s,,
you,you,s,considrd,0
more,more,s,,
odd,odd,s,strd,0
tales,tales,c,,
",",",",n,,
Of,of,s,considrd,0
our,our,s,,
Outlaw,outlaw,s,,
Robinhood,robinhood,n,,
That,that,s,considrd,0
revell'd,revell'd,s,,
here,here,s,,
in,in,s,considrd,0
Sherewood,sherewood,c,,
;,;,n,,
And,and,s,,
more,more,s,,
stories,stories,s,,
of,of,s,considrd,0
him,him,s,,
show,show,n,,
(,(,c,,
Though,though,s,,
he,he,s,considrd,0
never,never,s,strd,0
shot,shot,s,,
in,in,s,considrd,0
his,his,s,considrd,0
Bow,bow,c,,
.),.),n,,
Then,then,s,,
au',au',s,,
men,men,c,,
",",",",s,,
or,or,s,considrd,0
believe,believe,c,strd,0
",",",",s,,
or,or,s,considrd,0
know,know,c,,
.,.,nn,,
Stint,stint,c,,
",",",",s,,
stint,stint,c,,
",",",",s,,
your,your,s,,
Court,court,c,,
",",",",n,,
Grow,grow,s,,
to,to,s,considrd,0
be,be,s,considrd,0
short,short,c,,
",",",",n,,
Throw,throw,s,,
by,by,s,considrd,0
your,your,s,,
Clatter,clatter,c,,
",",",",n,,
And,and,s,,
handle,handle,s,,
the,the,s,considrd,0
matter,matter,c,,
:,:,n,,
We,we,s,considrd,0
come,come,s,,
with,with,s,considrd,0
our,our,s,,
Peers,peers,c,strd,0
",",",",n,,
And,and,s,,
crave,crave,s,,
your,your,s,,
ears,ears,c,strd,0
",",",",n,,
To,to,s,considrd,0
present,present,s,,
a,a,s,considrd,0
Wedding,wedding,c,,
",",",",n,,
Intended,intended,s,,
a,a,s,considrd,0
bedding,bedding,c,,
",",",",n,,
Of,of,s,considrd,0
both,both,s,,
the,the,s,considrd,0
Shires,shires,c,,
.,.,n,,
Father,father,s,,
FitZ-ale,fitz-ale,n,,
Has,has,s,strd,0
a,a,s,considrd,0
Daughter,daughter,s,,
stale,stale,n,,
In,in,s,considrd,0
Darbie-Towne,darbie-towne,c,,
",",",",n,,
Known,known,c,strd,0
",",",",s,,
up,up,c,,
",",",",s,,
and,and,s,,
down,down,n,strd,0
For,for,s,considrd,0
a,a,s,considrd,0
geat,geat,s,,
Antiquity,antiquity,c,strd,0
:,:,n,,
And,and,s,,
